	score	comment  INPUT_URL = "https://review.rakuten.co.jp/item/1/351180_10001229/1.1/"  # 10917
13	5	以前、ライトパープルを買って他店より使い心地がよかったので、全部KN94で、クーポン使って以下4色購入。【09】ピンク|タイプ:KN94バイカラー、【15】アイスグレー|タイプ:KN94バイカラー、【03】ハニー|タイプ:KN94【13】ライトパープル分厚すぎないのが夏にいいし肌当たりもいい、色もたくさん選べるので必要な限りこのお店でリピートすると思います。まとめ買いクーポン使いたいから仕方ないんですけど、わりとすぐ欲しくて買うので入荷待ちで変えない色があり、入荷待ちに合わせると他のも全部遅い方の納期になってしまうのが残念。仕方ないですけどね。色についてピンクバイカラー……ピンクというか私はペールオレンジと感じました。薄目の色で肌に馴染む。ただゴムはものすごくサーモンピンクで、ちょっと若すぎて派手だったかな…と思っています。アイスグレーバイカラー……これが私の中で当たりでした。グレー×桜色のゴムが控えめに可愛い。ハニー……仕事用の無難な色でめぼしいお色が売り切れていたので、まあまあ無難かなと思って仕事用に。想像より黄色みがつよかったです。ライトパープル……まとめてみると肌にあわなさそうなのですが1枚になると薄い色で、肌馴染み良いです。寒色の洋服を着ているときに合わせることが多いです。
14	4	リピートからのリピートでもう何度もリピート購入。一時期値段が爆上がりで400円前後から1000円前後になってたけどまた300円台に戻って安心。初めて買ったのが2021年1月頃でその時と比べると別物のような感じ。買った当初の物と比べると明らかに不織布がペラペラで装着した感じは肌触りが全然違う。改悪もいいところ。けど値段が安いのでしょうがない。
15	4	8月に初めて購入し、今回が2度目の購入です。色はライトパープルで、理想通りの色、形、着け心地でした。夏場のマスクは息苦しいのでリーフ型をいくつか買いましたが、こちらの商品以外はすべて「耳紐がきつすぎる」「ペラペラすぎる」などまったく合わず全部破棄するほどで、この商品のみリピートしたくらいお気に入りとなりました。ただ、今回購入して届いたものは、前回と生地が異なりました。画像1枚目のように、旧商品は綺麗な不織布にであるのに対し、今回のは表面がブツブツしていて、あまり好みじゃなかったです。着けてしまえば自分は見えませんし、他人もそんなところは見ないですし、見た目よりマスクとしての効果のほうが大事なんですが…。ちょっとした変化は注文のたびにあるかもしれないです。そこが心配。あとは欠品商品が多いのが残念で、それ以外は満足しています。冬用にもう少し不織布のしっかり厚みのある商品も欲しいです。□※画像2枚目、3枚目は1回目購入時のもので、今回のものと違います。
16	4	いろいろカラーが楽しめていい。耳ゴムは太めの肌あたりソフトで少し緩いけれどつけ心地は悪くない。商品到着までは1ヶ月以上かかりましたが無事届きました。ハニーはやや黄緑がかった薄い黄色といった感じでイメージしていたのとは違ったが、これはこれでいいとも思う。アプリコットはペリカン色を薄くした感じ？嫌いじゃない。ブラックはグレーがかった抜け感のある黒。(あくまでも個人主観です)10枚ずつまとめてパックされてます。個包装でないのは理解して購入したので問題ないがパック素材がビニールだったりポリだったりOPPだったりとバラバラなのが不思議に感じましたが商品は気に入ってます。
17	4	注文してから商品の到着も早かったです！思ってた色でした！他の色も注文したいと思います！
18	5	8/31に注文、9/3に到着しました。安くていいものを探すのが割と得意ですが、クーポン使って400円以下で、子供用立体マスクの20枚入りはあっても30枚入りは私が探した中ではこちらのショップだけです！1枚あたり、最安値だと思います！コロナ禍で忙しい中だと思いますが迅速な対応してもらいました。小学３年生、顔小さめ男の子の為に買いました。いつも繰り返しのアディダスの布マスクでしたが、年季入って来たので、不織布に切替え。定番の形は顔に張り付いて汗かくから嫌だと言ってて、以前友人から立体マスクを貰ったらこれならいい！と、同じの探して買いました。毎日気分で選ばせたいと思い、4色買いました。左からハニー、サンドベージュ、フェザーマリン、チャコールとなります。午前中自然光の窓辺で撮影しました。かなり実物に近い色だと思います。10枚1パックで、3パック入り。内側は全て白、ゴムの接着部分もしっかりしております。布マスクはいつもズレて鼻が出てるのですが、こちらはズレにくく、安心です。ありがとうございました。
19	5	リーフ型マスクを探して他社製を２回試し、3回目になります。今回届いたものが、自分の理想にぴったりの色と付け心地でした。他社のものは、顔面が痛くなるほどの紐の短さや、画像とまったく違う色のものが届いてガッカリでしたが、今回の「ライトパープル」は、希望通りの色でとっても綺麗！他の方がレビューに書かれていたとおり、涼しい色のお洋服を好む私にぴったりだと思いました。また、着け心地についても紐もよく伸びて耳や顔が痛まずとても良かったです。私はとても気に入りましたので、まだ届いて間もないですが、実際に長時間着用して問題がなければリピートしたいです。クーポン使用で400円前後で購入できるのは有難いですね。発送も早くて嬉しかったです。
20	5	プリーツマスク17.5cmだと縦横かなり大きく隙間が空いてガバガバになるので16cmや16.5cmを使う感じの普通の顔の大きさの女性です。ダイヤモンド形は程よくゆとりがあるのにガバガバ感がなく使いやすいので、他ショップですが色んな色持っています。バイカラーは初めてですが自分用より家族に似合いそうかなと思って買ってみました。商品画像と殆ど色味に差異はなく、ゴム紐はボルドーまたはワインに近いような落ち着いた赤でかわいいです。私自身はブルベで色白、ベージュは黄色味が強かったり、ブラウンは似合わないものも多いのですが、このヘーゼルナッツは馴染みの良い明るいベージュ(肌色？)で、黄色味が強くはないので服やメイクに寄ってはまぁイケなくはないです。そんなには似合いませんが(^^;)他ショップの物に比べると若干ですが薄手かなぁと思いましたが、こちらのショップの deCOGAOシリーズのクチバシ型よりは厚めかな。形の関係でそう感じるのかもだけど夏はdeCOGAOの方が涼しい気がしますが、こちらのKN94タイプの方が密封された安心感はありますね。でもその割に空間があるから息もしやすく、やっぱりリップや口周りのファンデが付きにくい形状かなと思います。自分は下地のみであんましファンデつけないけど家族は付けてるので。あと、プリーツマスク長時間付けてると微妙に肌が荒れるように感じますが(物に寄るかも)、気のせいかこちらの方が良さげかも。10枚ずつ重なって袋に入っているので、跡が付いてますが、実際顔に付けるとあんまりシワとかは気にならないです。私は青みがかってる系統やクール系の色味の方が似合うので別の色買うかもしれません。まだ家族に感想聞いてないけど何か言ってたら追記します。あと、クーポン祭りは何かしら毎日やってるのでしょうか？クーポン価格なら安いけど、定価だったらかなり高いなという印象です(^^;)
21	5	こちらのマスク愛用中です。プリーツだとホッチキスで止めないと顔にフィットしない(顔が小さいとかではなく輪郭的に)ので、毎日となると面倒だったのですが、この形だとフィットするので感染面でも見た目でも安心で、眼鏡をかけてるので、曇りにくく、やめられません！初めてバイカラーを購入しました。淡いピンクに濃いピンクのゴムが可愛いなと思って、届いてみたら写真より派手だなと思いましたが、付けると肌に馴染み、服装も合わせやすかったです。(ちなみにおそらく私はブルベ夏です)
22	4	1年ほど前に購入したものが無くなったので追加購入しました。真空パックで若干シワになっていたのは以前と変わらず想定内でしたが、ライラックの気に入っていた紙質が変わり薄く若干ごわつきがあり残念です。紙の変化のためか色も去年はきれいな薄めライラックでしたが少しピンクがかった淡紅藤に見えます(写真は若干グレーがかってしまっていますが)。同時に購入したベビーピンクが思ったより薄い紅梅色やフラミンゴピンク寄りで使いやすくなぜか紙質もごわつかなかったので次回はそちらを注文しようと思います。シュガーピンクはとても明るいパステルピンクでした。届くスピードは満足です。
23	5	リピートです。前回ホワイトとヘーゼルナッツを購入して良かったので、今回はヘーゼルナッツとアイスグレーを購入しました。本当はチャコールが欲しかったけど売り切れていたのでアイスグレーを買いましたが、結果アイスグレーで良かったかもと思うほど色が気に入りました。ゴムも耳が痛くならずに快適につけられて、色も展開が多いので、これからもリピートしたいと思ってます。
24	5	初めてハニー色を注文しましたが派手な色ではなく良かったです。リピ決定です。ゴムも以前より優しく感じました。
25	5	注文して2日目に届いてビックリ！早かった！プラム普通は思ったよりシックな色合いで服の色を選ばない感じでした！着けてみて良かったら他の色も試してみたいです！実際スーパーに着けて行ってきました。薄すぎず厚すぎず丁度良い着け心地。明るい店舗の中ではピンクよりに見えたりするので男性には不向き。
26	4	2日ほどで届きました。10枚ずつ包装されていて、臭いが少しありますが、ビニール袋から取り出しておけば気にならなくなるレベルです。生地もしっかりとしていて、色はアプリコットを買いましたが、控えめな綺麗な色でした。リピートありだと思います！
27	5	バイカラーのピンクを注文。届いたら箱にヘーゼルナッツ×サーモンピンクと記載されており、違う色が届いた？と思い開封する前に急いでショップに問い合わせ。すぐに返信があり、ピンクは「ヘーゼルナッツ×サーモンピンク」のバイカラーとなり、別色でヘーゼルナッツがありますが、こちらはヘーゼルナッツ×レッドとなり、差別化をするためにサーモンピンクをピンクとしてるとのことでした。初めてのフラップ型マスクですが、着け心地は最高です。色合いも可愛く、またリピートしようと思います。
28	4	アプリコットがオレンジに近く、思っていた色より明るかったです
29	5	夏は、このマスクがいい！息がしやすいです。保育士で仕事柄、歌うたったり外遊びで汗だくの毎日だけど、耳も痛くなくよかったです。
30	4	とても早いお届けで助かりました。初めての立体マスクなのですが呼吸や会話がしやすく快適です。においもしません。サンドベージュは肌馴染みが良く、耳かけゴムがオレンジ色で可愛いです。主人には白を。気に入っています。私自身ベース顔×顔が大きめなので、ほんの少し締め付けられる感じがしました。顔の大きさが普通の主人はそういった感じはないそうです。
31	4	プリーツ・ライトパープルを注文。届くのは早かったです。他のレビューにもある通り真空に近いぐらい圧縮されていましたがヒモの切れなどはなさそうです。色は濃すぎずふんわりパープルな色味でつけやすいです。問題はヒモの長さでしょうか…少しのお出かけなら問題ありませんが長時間つけると耳が痛くなります。ヒモが短くてすぐ耳が痛くなるなと思って置いていたマスクと同じかそれよりも少し短かかったのでちょっとショックでした。もう少しヒモが長ければ☆5つでした。
32	5	注文してから2日後に届きました！早かったです！お試しで1袋しか購入しませんでしたが、リピも視野に入れています。写真1枚目のように袋に入れられてポストに届きました。袋を開けると、2枚目の写真のように圧縮されていました。保管の際は、なにか別の容器に入れるといいかもしれません。色はヘーゼルナッツです。参考までに！
33	4	くちばし型 大人用、子供用購入しました。子供用は、小さく、1年生の子にはちょうどいいですが高学年の子には合いませんでした。大人用ベビーピンクを購入しましたが、写真よりくすんだ色です。発送は、とても早く2日で届きました。くちばし型で３０枚398円は安いので、まぁ、満足です。
34	5	毎日使っても耳痛くないし、快適です。職場の人にも好評で、注文頼まれてます。今後もリピしたいです。
35	5	耳紐の広いマスクを捜していたので、こちらは5mm以上あるということで購入しました。届いたマスクは耳紐が広く欲しかった商品でした。色が可愛いですし、耳も痛くならなくて、とても良いと思います。配送も迅速丁寧にしていただき有難うございました。
36	5	よくある普通サイズだと大きくて、子供サイズだと小さいのですが、この小さめサイズは丁度良い大きさで気に入っています。アイスブルーとアプリコットを購入しましたが、紐の形状が色によって異なっていました。どちらも耳が痛くなることはありませんが、アプリコットの方の紐はかなり伸びる(むしろちょっと緩い)感じです。個人的にはアイスブルーの紐が丁度いい伸び具合だと感じています。ポスト投函できるように圧縮されて届きますので、シワが付いているものもありますがあまり気にしないタイプなので問題なく使っています。
37	4	サイズはちょうど良く、カラーもほぼ写真通りで満足です。今後も宜しくお願い致します。
38	5	注文して2日後に届きました。2回目の購入で今回初めてアプリコットを買ってみました。可愛い色で良かったです。
39	4	安く購入できてとてもいいです。生地も薄目で呼吸しやすいです。ただ、今日30枚入の1枚に、紐が結ばれたものが出てきました&#8234;( ; _ ; )&#8236;ちょっとショックです。
40	5	他の色が希望でしたが、人気で完売したと直接電話に連絡がありこちらの色になりました。立体マスクでないと、マスク頭痛がありしんどいのでまた購入させてもらいます★
41	4	水曜日午前中に注文、金曜日の夜にポストに届いてましたプリーツタイプふつうサイズアイスグレーを注文してみました色はネットの写真通りで気に入りました耳ゴムも太くやわらかくよく伸びると思います半日使用してみましたが痛くはならなかったですノーズワイヤーは思ったよりは硬めでした
42	4	10枚1袋に入ったものが3袋で計30枚入っていました。着け心地は少しゆったりした感じですが、ワイヤー入りなのでフィット感はありました。個包装だったらよかったなぁと思います。
43	5	ヘーゼルナッツ バイカラー 30枚顔馴染みが良く、とても可愛いマスクです。クーポンで安く買えて、ほんとにお得です。また、リピします。ありがとうございました。
44	5	本日届きました。ヘーゼルナッツはピンク寄りのベージュでしょうか。肌なじみが良さそうです。ゴムのエンジのバイカラーとっても可愛いです。モデルさん着用のグレー&エンジがあれば欲しかったです。またお願いします。
45	5	サイズぴったり！この形のマスクは初めてでした！息しやすいし色も可愛いのでまたリピしたいと思います。
46	4	届いくも早く、色も良かった。リピート決定！！！
47	5	KN94アイスグレーを購入しました。優しいグレーで気に入りました。
48	4	思ったよりオレンジがかった肌色でしたが、肌馴染みも良く合わせやすい色です。発送も早かったです。他の色も気になるのでまた購入したいと思います！
49	4	サイズも厚さもちょうどよかったです。カラーも派手すぎず落ち着いた色で気に入りました。個包装ではないけど、朝さっと取ってつけれるし、ゴミも出ないので結果的に良かったです。鼻の部分に切れ目が入っていれば、なお良いと思いました。
50	4	箱を包んでいる透明のビニールについて送付状を貼って届くので、箱の角はボロボロに折れていますが中身は問題ないです。臭いなどは気になりませんでした。
51	4	コスパも良く、紐も太くて痛くならないので何回もリピートしていますが、この前買った時に紐が切れて結んだ跡があるマスクが入っていました。流石にこれは、、、。と思いレビューさせて頂きました。その他はとても良いのでおすすめです。
52	4	6月5日に注文して、3色とも8日に到着しました。ホワイトとヘーゼルナッツは箱の中で10枚ずつ小分けになってましたが、ライトグレーだけ、30枚まとめて入ってました。どの色もいい色で顔にフィットして使いやすいです。
53	5	注文して中1日でポスト投函されました。長い時間は着けていませんが心配していたシワも本体にはなくて特に問題はなく、クーポンを使って399円で30枚は安いと思います。カラーはアイスグレー。
54	5	頼んでから2日で届きました！包装もしっかりとしており安心でした。色もわたしのイメージにあっており、良かったです！リピ決定です^^
55	4	袋のラミネートが雑でなかに入っているマスクの紐を巻き込んでいたので、数枚使えない状態でした。
56	5	２色購入しましたが、どちらも希望通りの色目と、耳が痛くなりにくい、やわらか平ゴムでとても良かったです。個別包装や、10枚パックではなく、51枚が一緒に真空パックされた状態できました。私は家に置いて置く用なので問題はないです。リピしたいと思っています！
57	5	リピートです！色もよく、発送も早かったのでよかったです！
58	4	リピートです！使いやすく私にピッタリのサイズです 血色ライラックが好きでリピートしましたが今回はアプリコットを追加で注文しましたアプリコットはベージュぽいと思っていましたがオレンジに近い色でしたが気に入ってます、しかし今回1枚だけ紐が片方付いていない物があったので星4つです次もリピート間違いなし
59	4	リピです♪今回はパープルとアイスグレーを注文したのですが、なぜかブルーが届きました笑このマスクが1番お気に入りなので、またアイスグレー頼みたいと思います！
60	4	前にアイスブルーやアプリコットを購入しました。使いやすかったのと、色とゴムの柔らかさがお気に入りだったのでリピートです(^^♪今回はまたアイスブルーとライトパープルを新しく購入！落ち着いた色とゴムの具合に満足です☆ただ一つだけ気になるにのが、真空パックみたいにくることだけですね(;´･ω･)2022年1月。アイスブルーを使っていたところなんと！むき出しなノーズワイヤーが( ; ﾟДﾟ)金額安いから、しょうがないのかな(泣)
61	4	うーん、ピスタチオ？私のiPhoneで見たのより、だいぶ緑が濃いですねピスタチオよりブロッコリーじゃないかなそして臭い多分染料の匂いだと思います絵の具っぽいようなパッケージから出して、数日置いてから使ってみようかな普段から匂いに敏感な人は気を付けたほうがいいかもただ、クーポン使わせていただいたので、送料も込みでこの価格は相当安いと思います品物は星2ぐらいですが、サービス精神に星2つ足しました届くのも遅くなかったし、商品も綺麗です◆追記◆一晩袋から出して通気性よくしていたら、だいぶ臭いは気にならなくなりましたw
62	4	クーポン使って、お得に購入しました！ただ、色が思ってたのと違いました…。サンドベージュを購入したのですが、見本画像より茶色寄りでした。どうしても、画像では色みがわかりにくいので仕方ないかと思います。品質、サイズ、問題なしなので次回は違う色を購入しようと思います。
63	4	耳ゴムの圧着不良が30枚中3枚ありましたまぁ、安いし仕方ないですね
64	4	立体マスクは息がしやすいので、枚数が多くて安いものを色々リピしてます。こちらのも問題なく使用できます。
65	5	こちらのマスク購入しました。初めて黒マスクをこちらのSHOPで買い、良かったので今は色んなSHOPで黒や色んな色の使い捨てマスクあるので、どこも同じ感じだと思いお安いところとか色んなSHOPっで買ってましたが。最近になって息子が、前のマスクってもう無いの？と言われて…前の？この黒も同じでしょ？って言うと、違うよ、前に使ってたの耳が痛くならない、もっと紐が太かったよ。前のが良かったと…そうなの？！と思いこちらに戻ってきました。久しぶりに注文したら袋が変わってたから、えーもしかして違うかなぁって思ったけど、袋を開けたら、そうそう！他のより紐が太い！と言うことで。また無くなったらリピートするのでいつまでもこの太紐さんで願います☆
66	5	コロナになってから色んなお店でマスクを購入しましたが、カラーの豊富さ、綺麗さ、厚さなどの品質、発送の迅速さでこちらのお店のマスクが一番です。何度もリピートしています。マスク紐が切れたこともありませんし、アトピーですが、肌荒れもないです。今回はシュガーピンクと、イエベ秋ですが以前購入して使いやすかったライラックのプリーツを購入。シュガーピンクはちょっと可愛過ぎる色でしたが（笑）、消耗品ですし、こちらのマスクは顔馴染の良いカラーばかりなので、楽しんで使いたいと思います。
67	5	数日使用しましたがとてもよかったです。触れる部分も柔らかいしゴムも痛くない。自分にはちょっと大きかったので喋ったりしてると下のブリーツが広がって顎まできますが、ぺたんこのマスクのように形が崩れたりしないので良かったです。箱もおしゃれで可愛い薄型なので、ドレッサー近くの本棚にそのまま置いておけて便利。
68	5	4箱で￥1,980とお安く購入出来ました。色はヘーゼルナッツサイズ：普通を選択したと思うのですが、Lと箱に表示！大きいのでは？と不安でしたが、丁度良い大きさで長くつけていても耳も痛くならいです。老眼鏡も曇りにくいです。耳にかかけるゴムの色：レッド年齢的に、派手では？と思いましたが、同系色より私は気に入りました！皮膚にあたる面は白色で清潔感があり好きです。
69	5	普通のプリーツタイプを購入しました。耳のゴムが特にお気に入りです！幅広でふわふわで1日中つけてても全く痛くないです。また鼻が潰される感じがしないのも気に入ってます。色味も顔色が良く見えるようで、今まで使った中で1番自分に合ってるみたいです。また、パッケージ変更とあったので薄型の箱で来ると思ったらビニール袋(以前注文した時と一緒)だったのですが、以前より梱包がしっかりしていた事と、箱じゃないのでポストの大きさを気にせず中までしっかり入れてもらえるため、そこも個人的には安心で嬉しいです。また購入します。
70	4	この形は2度目の購入です。在庫のあったバイカラーを3色頼みました。アイスグレー&#10006;&#65039;ピンクなどピンク系の紐は男性には可愛すぎるかもしれませんが、女性にすごく良いと思います。ヘーゼルナッツに茶色の紐のも思ったよりも濃い過ぎず使いやす色でした。クチバシ型のも注文していますが、そちらは納期がもう少し遅かったのでまだ届いていないのですが、届くのがたのしみです。
71	5	圧縮から非圧縮へシワシワで使えないものがないのが嬉しい。それでもお値段変わらずなのもすごい。しかもおしゃれでスリムなパッケージ。パッケージでぱっと見で色がわかるし、送料が抑えられるのはもちろん、ストックとして保管するのも楽々便利。人にもプレゼントしやすい。圧縮タイプはとてもじゃないけど他人にはおすそ分けできないです笑四回以上リピ中仕事でたくさん話すので、この形、この紐の具合がちょうどいいです。過去に別のマスクでマスク荒れを起こしたこともありますが、これは大丈夫。マスク生活いつまで続くかわかりませんが、マスクはずっとここで買いたい。カラバリも充実してして最高です。
72	4	おしゃれな箱に入って届きました！立体とプリーツどちらも購入しましたが、プリーツの方は51枚が一袋にまとめられていて、使いにくいかなぁ、、3袋くらいに小分けされていたら衛生的にもそんなに気にならず、使いやすいと思います。若干歯医者のような匂いがあり、わたしはそこまで気になりませんが、気になる人は気になるだろうな&#12316;という感じです。概ね満足していますので、またリピすると思います！
73	5	大好きなマスクです。今回は初めての色である、ハニーとベビーピンクを購入。沢山色があるので、選ぶのが楽しいです。コロナ禍になってからというもの、色んなお店で、質の良くない不織布マスクを買い、散々懲りたので、今はこちらのお店のマスクしか買いません。パッケージもどんどんスリムにお洒落になっていますね。アメリカでも展開されているとか。ぜひ海外の方にも素晴らしいマスクを使ってほしいです。また買います。
74	4	アイスグレーを購入しました白いマスクだとファンデーションがついた時マスクによってはファンデの色がマスクの表面に出てしまうのですが、程よくグレーがかかっているのでマスクについてしまっても目立たないです。届いた時は濃いめに感じましたが着用してみると、白とグレーの中間のおさえた色味でいいと思います
75	5	何度かリピ買いさせて頂いております。たびたび大幅値引きのセールをしていて、人気のカラーだと、予約になることもありますが、パッケージやマスクの不織布の匂いもなくて、耳のゴムも痛くならないし、とっても良品です今回はシュガーピンクを買いましたが、画像の通り、淡&#12316;いピンクでかわいいと思いますその日の気分やコーデに合わせて、マスクのカラーを選んでいます！
76	4	初めてくちばし型のマスクを購入。フラップ型より楽に着用出来てとても良かったです。こちらのマスクは耳紐が幅広いので痛くなりにくくいつも愛用しています。グレーとピンク紐のバイカラーも可愛いです。今度は色違いを購入しようと思います。20枚しか入ってないので☆１つ減らしましたが30枚以上でお願いしたいです。是非検討してもらえないでしょうか？
77	5	何度か注文しています。今回はハニーにしてみました。思った通りで気に入りました。私見ですが、こちらの立体マスクはゴムヒモが若干緩めな感じが致します。(普通サイズ)付ける前にゴムを左右に引っ張ってます。私の顔は右側のホホが高めなのか、どうしてもマスクの上の端が当たってしまい、目の下にくっきり横線が付いてしまうのです。それが嫌でプリーツタイプばかり使っていましたが、前回から試してみました。そうすると緩めな感じがして、上手く合わせながらつけると線が付きません。いつまでも販売して欲しいです。他社の普通サイズはかなりフィットして、どうしても線が付くのが耐えられません。
78	4	初めてフラップ型を購入しました。色はブラックにしました。鼻と口周りの空間があるのでとっても楽に感じます。薄めで呼吸すると少しペコペコしますが問題なさそうです。プリーツ型ではサイドが浮いてしまうことが多いのですが、このフラップ型だと隙間なく着けられました。もう少し紐が短いほうがよかったのと、ノーズワイヤーの位置がもう少し上めにあるともっとよかったですが、お安く購入できたので満足です。町の薬局で購入するより安かったです。他の色も試してみたくなり、アイスグレーを注文しました。アイスグレーの到着が楽しみです。
79	4	こちらを購入するまでは、ずっとプリーツタイプのマスクを使っていました。最近見かけるフラップタイプが気になりつつも、テレビで見ると不恰好な物も多くて。そこで、口コミの良かったこちらでトライ！口コミ通り、とても良い！やたらと鼻の部分が長いのとか不恰好ではなく、ちゃんと顔にフィットして口もつかない！使い始めのニオイが気になりましたが、ビニールを開けて少し置いたら大丈夫でした。口コミを書く前にリピしてしまったくらい気に入りました。まだまだ続くマスク生活をステキにして下さって、ありがとうございます(*^^*)
80	5	冷感マスクが白しかなかったので、白を購入しました。冷感をそこまでは感じないのですが、付けた時に普通の物より軽く感じます。冷感もそうでないものもお値段も同じなので、他の色の冷感マスクが入るのを待って、次は別のカラーを購入したいです。3種類買ったのですが、以前は3通のメール便でし届きましたが、今回はクロネコの宅配便で到着しました。出来たらメール便の方が助かるのですが、お安く購入させて頂いているので、仕方ないのかなと思います。また、箱にサイズがLと表示されていて間違えて注文したかと焦りましたが、普段の｢ふつうサイズ｣でした。
81	4	色々なところでくちばしマスクを買ってみましたが、臭くて使えないものや、ゴムがきつすぎる・緩すぎるもの、中々自分の好みの物に出会えなかったのですが、こちらは良さそうです。アイリスオーヤマの16.5センチマスクがピッタリです。大きめ小６の息子には大人用だと不織布の大きさはちょうど良いのですが、ゴムが長いので端っこを縛って使わせています。チャコールグレーとヘーゼルナッツを購入しましたが、チャコールグレーは思った通りの濃いグレーでいい感じでしたが、ヘーゼルナッツは思ったより肌色、しかも明るい肌色。もう少し暗めが良かったなー。違う色でリピします。
82	4	予約商品もありましたが思ったより早く届きました。定価だと30枚なら高いと思ったのですが限定クーポンで半額だったので試しに購入してみました。ライトパープルとてもきれいな色です。接客のある仕事なので主張しすぎない色で使いやすいです。以前の購入者の方のレビューに皺が…とあったので心配しましたが、同時に購入した白が箱に代わっていたため、それが台紙のようになって袋入りですがまっすぐな状態で届きました。順次入替中とのことなのでリピートは考えていますが、運悪く袋入りのものばかりだと配送中に皺になっても当然かなと思います。
83	4	白、ラベンダー、ピンク、グレー、サンドベージュの5色を購入しました。白のみ10コずつにパックされており、後は30枚のパックでした。お値段が安いので３０枚パックでも仕方ないかなぁと思っています。立体マスクは呼吸もしやすく、会話をしてもマスクがずれたりしないので、このお値段で、色も選べると、大変助かります。
84	4	フラップタイプのマスクは初めて使用したが、プリーツタイプよりしっかり空気を遮断するので良いと思った。品物は良いし、何ら問題ないが、説明の表記が少々分かりにくく、何枚くるのかよくわからなかった。プリーツタイプなら50枚、フラップタイプなら30枚ということのようだ。割引もされてお得な分、品質はどうかと少し心配したが、良い品だと思う。また買います。
85	4	ホワイト タイプ:KN94・フラップ型 (ふつうサイズ) 2セットと同タイプのサンドベージュ1セット注文しました。顔がデカくて鼻が高いのですがサイズはちょうど良くて小顔に見えて息もしやすくて買って良かったです。独特の化学薬品みたいな匂いがするので使用前に陰干しして匂いを飛ばした方が良いのか悩みます。手にも臭いがついて取れないのでちょっと怖くなってきました。ちなみに中国製です。サンドベージュはどう見ても他社で買ったことあるヘーゼルナッツのマスクの色をしてたのがちょっと残念です。カラーマスクは白に近い薄い色で展開してほしい。
86	4	フラップ型、ふつうサイズ、シュガーピンク、30枚入り。クーポンを利用して399円で購入。圧縮されてポストに投函されていたのですが、開けた時の匂いは気になりました。でも、空気に触れさせて時間が経ってからは気にならなくなりました。色はピンク系だけど落ち着いた色合いなので可愛すぎなくて気に入っています。また安く買える時に買いたいなと思います。
