	score	comment	INPUT_URL = "https://review.rakuten.co.jp/item/1/351180_10001030/1.1/"  # 74210
10	5	【48h限定クーポンで381円】2/8 24時迄☆総合1位受賞 99.9%遮断 マスク 不織布 50枚 +1 KN94マスク 30枚
11	4	立体マスクが30枚でこのお値段なのは嬉しいメガネが曇りにくいので立体マスクがお気に入りになってきました（主人がｗ） 今回はホワイトとサンドベージュを購入今のところ問題なく使ってます
12	5	私はちょっと硬めな素材が好きなので国産よりも中国産の方が好きです。好きなカラーも選べて気分転換になるし、立体型なので硬めな素材が活きて型崩れもしにくく使いやすいです。
13	4	09ヘーゼルナッツと06ライラックのプリーツタイプのマスクを購入しました。私はピンク寄りの黄味の少ない肌色で、合う色を探していたのですが、ばっちりでした。ヘーゼルナッツは他社の似た色のマスクと比べて、少しトーンが暗く少しピンク寄りで、肌色に近くファッションを邪魔しません（ゴム紐は何故か不織布部分より黄味の強い明るい色です）。ライラックも落ち着いた色で、白いマスクよりもなじみがよく、少し入っている赤味が顔色を華やかにしてくれてとても素敵です。似た色のマスクは他社でも見かけますが、この絶妙な色はなさそうだと思いました。同系色やネイビー、白系の服装のときにつけるととてもおしゃれです。ベージュ系の服を着るときにはヘーゼルナッツを、青み系やピンク系の服を着るときや、爽やかな感じにしたいときはライラックを使うという感じに、この2色が定番になりそうです。ただ、不織布は他社の物にくらべて、紙みたいな質感で、肌触りもぺたっとして、よくないです。ゴムがややきつめなので、顔に張り付く感が強く、不織布の通気性も低めなので夏は不快そうだなと思います。サイズは、「約90×165mm (女性〜中学生 / 小さいサイズ)」と記載されていますが、横は記載どおり165mmでしたが、縦は確実に95mm位です。記載どおり90mmのものが欲しいです。また、09ヘーゼルナッツと06ライラックとでゴムの長さが明らかに違いました。どちらもきつめなのですが、ライラックはよりきつめで、鼻がおしつぶされるような力が強いです。長時間つけたら痛いかもしれません。
14	4	クーポン利用して買いました。少し薄い感じがします。暑くなる季節にはよいのかも？しれません。また、ノーズワイヤーが短くて左右均等にならず〜な品(良品とは言えず)がたまに混ざっていました。あと、商品パッケージにそのまま宛名ラベルが貼付された状態で届いたのはびっくりでした。。。まぁ内袋も一応ありますし、使えないわけじゃないですけど。でも衛生用品なので良い感じはしませんでした。消耗品がお得に買えたので今回は許容範囲とします。ただリピはないかも。
15	5	99%遮断 マスク 不織布 プリーツ 51枚 /KN94マスク 30枚 くちばし型 カラー チークマスク  立体 不織布マスク メガネが曇りにくい 小さめ 日本 N95同等 KN95 一律送料無料
16	4	消耗品なので、クーポンでお得に購入できてよかったです。カラーも少なくなっていましたが、肌馴染みが良くよかったです。
17	5	母が友人で使用している方々が多くなってきてか、血色マスクに興味を持ち、依頼を受けましたので代行買致しました。 白色オーソドックスの不織布マスクの値下がりが凄いので、1枚当たりの単価は確かに割高ですが、お色に寒暖色があるので、ファッションに合わせやすいことと、形状が長方形のオーソドックスなマスクと比較するとかなり立体的になっているためか、小顔効果も演出してくれるかと思います。ウレタンマスクでも寒暖色はありますが、電車に乗る際や多少込み合う際には不織布のこちらを使用しているようです。今回は寒暖系2色とグレイ系1色を購入致しましたが、思いのほかフィット感なども良いのでまたお世話になりそうです。今度は所有している衣服のパターンに合わせて、追加で他の色にも手を出してみようかなと言いう感じでしたね。また、サイズはランキングに入っている様な白の箱売り不織布マスクで不満が内容でしたら、殆どの方にはジャストフィットするかと思いますよ！
18	5	注文番号:351180-20220621-0894704570クーポンでお安く購入。51枚で369円彼用にブラックを購入しました耳も痛くならず良いとのこと(^^)良かったです
19	5	レビュー遅くなりました＾＾；購入後早々に発送していただきありがとうございました。ー￥５９５クーポン使用で購入。またお願いします。ありがとうございました。
20	4	サイズは普通サイズを購入。色はライラックとヘーゼルナッツの二色を選びました。圧縮されてたので少しシワが目立つ感じでした。袋を開けてしばらくするとシワは目立たなくなったと思います。このご時世マスク必須ですが、メイクして気分上げたい時に口紅がマスクについて気になるので、このフラップタイプが普通のよりは個人的にお気に入りです。
21	4	クーポンで387円だったので購入してみました。お色味はプリーツタイプのシュガーピンク。届いてみて想像以上に大きな箱でびっくり（笑）薄型の大きな箱に圧縮されて入っているイメージです。シュガーピンクの画像は白に近い桜色でしたが、画像よりも濃いめの柔らかいピンクでした。派手過ぎず甘すぎず、大人の女性でも使用出来る柔らかいピンクでした。普段市販のマスクは女性用の小さめサイズなので小さめサイズにしましたが、マスク自体が硬めで若干ごわつきがあるせいか少し大きく感じました。到着した状態は写真の通りで、少しの歪みや崩れも気になる方には向いていないかもしれませんが、このお値段で普段用の可愛い使い捨てマスクが購入出来て良かったです。もう少し柔らかいと嬉しいですが、このお値段なので贅沢は言えませんね。
22	4	351180-20220622-0332004729チョコラを購入。よく見ずに買ってしまいましたが、こちらは30枚だったのですね。ですが、中々見かけない色なので気に入りました。
23	4	立体の血色ピンクと血色ライラック購入。見本の写真、開いた方ではなく畳んだままの方を参考にしたのですが、全然違いました。肌に馴染む薄い色が欲しくてヘーゼルナッツが売切れだったのでこれにしたけど、色が濃かった。好みではないけど、マスクとしては問題ないし満足です。参考までに上が血色ピンクと血色ライラック、下は他店で購入のラベンダーとアプリコットです。
24	5	これが3回目の購入です。小学5年生の娘にちょうど良いサイズ。かわいくおしゃれだと言われて喜んでいます。実は父親の私にもちょうど良く。時々使っています。
25	5	小学5年生の娘が毎日使っています。青色が好きな女の子なので、とても喜んでつけています。
26	5	立体マスクのベビーピンクを自分用に、ホワイトを母に購入しました。気に入ったのは、色味が派手でなく、顔なじみのいいベビーピンクだったことです。色はアプリコット寄りの、思っていたより淡い色調だったので嬉しいです。小さめサイズにできていてちょうどいいです。今迄、布製のマスクは、下を折り縫い付けて、小さくして使っていましたが、こちらは小さめですから、マスクが歩いている感じがなくて気持ちがいいです。色もサイズも好みで、安全の４層フィルターも素晴らしいです。リピします。写真は光の反射のため、明るめに出てしまいましたが参考迄。紐もベビーピンクで可愛いです。
27	5	破格のクーポンが付いていたのでお試しにべビーピンクのプリーツタイプを購入してみました。頬骨が出ているので普通サイズで。ベビーピンクは写真より控えめの優しいお色で着けてみるとお肌に馴染んで違和感なし。なかなかよかったです。いつもなら付いてしまう頬骨に痕が付かなかったのもよかった。梱包についていろいろな口コミがあったので少し不安でしたが、平たいシンプルなお箱に3つの束で横に綺麗に並べられたものが密閉されたビニール袋に入っていましたよ。ゴムの部分はたしかに折れていたりしますが、装着すれば伸びて全く問題ありません。先程見たらまだクーポンが健在だったので追加であと何色か購入しようと思っています！
28	4	このご時世、色々なマスクを使用してきましたがサイズや形で言うと、7枚入りでドラックストアで売っているような物よりも素材は薄いですが、フィット感はあるような気がしました。色味は好みやお肌の色によって十人十色似合う似合わないはあると思うので好みで楽しめばいいんだと思います。私は選んだ色（血色ピンク）が可愛い色すぎていまいち自分では似合わないと思いましたが、他人から見ると良い色なんだそうです。顔色がぱっと明るく見えるそうです。クーポンの時に買うと本当にお得だと思います。ゴムも痛くありません。ただゴムのつける個所が外側になっているので、最初逆に付けていました。折り目を考えたら逆だったんだと気が付きましたが。サイズがピッタリで付け心地が良いのでリピートすると思います。このお値段なら3色くらい揃えて置いておいてもよいなぁと。生地が薄いのだけ、まあ気にはなるけど・・・。
29	5	上からアプリコット、ヘーゼルナッツ、ライラック、ベビーピンクです。上２つは割と実物と色味が近いかなと思います。ライラックとベビーピンクは、この色味でもう少し明るいです！アプリコットとライラックはくすみカラーに近いです。アプリコットは、肌の白い自分がつけるとクマが目立ったり、肌がくすんで見える気がしました。標準肌の妹は、少し微妙かなと言っていました。（好みの問題かもしれません､､､）他の３色は自分に合っている気がして満足です！マスクは自体は割と丈夫で耳の紐の部分は少し薄く感じますが、太さがあり耳が痛くならなそうなのが嬉しいです！51枚がまとまって入っていますが、この安さなのと使う分だけマスク入れにまとめて入れれば問題ないです！！
30	4	ゆうパケットで届き、日曜日に注文をして木曜日に届きました。 商品画像を見て想像していたより濃いピンク色だったのでびっくりしました。もう少し薄めの方がよかったです。 30枚が全部同じ袋に圧縮された状態なので、変なしわが寄った(痕が付いた)ものもありますが、ゴミがビニール袋だけなのはよかったです。 ざっと見た感じ、使えないほどの不良品はなさそうです。 他で購入したフラップマスクより、紙が薄い？柔らかい感じがしました。 この形は、肌に触れる面積が少ないので、肌が弱いわたしは、通常のマスクより苦痛が少なくて付けやすいです。 横幅が 205mmで、顔が大きいわたしでも窮屈な感じがせずよかったので、血色ヘーゼルナッツを追加購入しましたが、届くのは年明けの予定です。色味が楽しみです。
31	5	リピーターです！前回はライラックを注文して、涼しげで良かったので、今度は、ヘーゼルナッツを注文してみました。色が絶妙に、ダサいマスクに当たることがありますが、こちらのヘーゼルナッツは、いい感じです！とくに柔らかいゴムというわけではありませんが痛くなることもないです！大きめの男性の方は、わかりませんが…また注文予定です！
32	4	マスク幅は大きめで、頬の肉がのりにくくいい感じ(*^^*)だけど、耳のゴムがちょっとキツい(>&#65087;<｡)しばらく付けてると痛くなります。めっちゃゴム伸ばしてから付けてますが、やっぱり痛い。色も大きさもいいのに惜しいです。でも安くてお買い得！めっちゃ圧縮されてきたけど(笑)
33	5	ヘーゼルナッツとサンドベージュの色の違いを参考にどうぞ。左がヘーゼルナッツ、黄色っぽい箱の上がサンドベージュです。サンドベージュの方が濃く、色がまだらに見えます。私はヘーゼルナッツの方が好みでしたがどちらも顔になじむ色だと思います。
34	5	会社の先輩からこちらの商品のライラックをいただき、つけ心地がいいので、購入いたしました&#8252;&#65039;いつも小さめのマスクですがちょうどよかったです。前回はライトパープルで、今回はヘーゼルナッツです。口コミより参考とさせていただき、人気があったので選びました。落ち着いた感じでよかったです。個人的には前回のライトパープルが好みでした。口コミにあったシワについては、つけてるうちに気にならなくなったのであまり気にしていません。それよりとても安く購入できたので、他の高いマスクは買えなくなりました(笑)次はシュガーピンク狙います&#8252;&#65039;
35	4	ライラックを購入しました。写真の色味はできるだけ現物と近づけましたがお使いの端末によって見え方が変わるかもしれません。思っていたよりも地味な色味でした。立体マスクの方が色が濃く、どちらかといえば好みでした。仕事中につけたいので派手すぎないのはいいと思います。当方ブルベ冬ですが、ライラックよりもパープルの方がいいかなと思ったので次回はそちらにしてみようと思います。プリーツマスクは145×90mmの子供用サイズですがサイズだけで見ればダイソーなどの女性用と同じです。立体マスクも顔にフィットして、息もしやすいです。ただ息を吸うとペコペコしてしまうことが難点かもしれません。また違う色味でチャレンジしてみます。ありがとうございました。
36	5	プリーツマスクのベビーピンクと、フラップ型のチェリーブロッサムを購入。ベビーピンクは画像より落ち着いたくすみピンクで使いやすそうなカラーでした。が、チェリーブロッサムはカシスやベリーに近い紫でした。でも紐は柔らかく、何より安いので無くなればまた購入します。
37	4	ドラッグストアでよく置いてある普通サイズだと大きいし、小さめだとちょっと苦しい感じがしていたので、このサイズが気になり注文してみました。サイズ感は私にはちょうどよくスッキリみえます。質感はよくある感じで、耳のゴムは柔らかい平ゴムで痛くありません。色が写真より明るめです。
38	4	小学生用に購入。子供サイズがほとんど売り切れてたので、小さめを選びました。140センチ、細身には少し大きいようですが、紐をそれぞれ2センチ程結べば使えるようです。ネイビーとフェザーマリンを選びましたが、ネイビーは思ってたより濃紺で、フェザーマリンは男女で使えそうです。気持ち薄い感じはしますが、160センチの親も締め付け感少なく使えます。1パックに51枚入りで平に圧縮されてます。外袋に住所が貼られていてメール便で届きました。
39	4	ライトパープルがほぼ白に近い感じでした！カラーのマスクが付けづらい職場などでは良いと思います！
40	5	届きました&#12316;！色味可愛いから早く使ってみたいです！
41	5	届きました！とてもお得に買えてよかった！
42	5	リピートです。何の問題もありません。肌が敏感なので鼻をくすぐる感じが苦手でいろんなマスクを探していましたがこちらが今のところ一番使いやすいです。長時間着けても耳が痛くなりませんし摩擦による毛も出にくくてとても良いです。沢山のカラーがあるので今後もいろんなカラーを楽しみたいです。
43	5	最近までずっと白いマスクばかりつけていましたが、色付きの物にしてみたら可愛くて気に入りました！血色シュガーピンクがとても可愛くてリピです^_^この商品は耳が痛くならずお気に入りです^_^
44	4	51枚入の方を３色購入。小学校でもコロナで学級閉鎖もあり不織布マスクでとの事。少しでも気分が上がる様に可愛いカラーの物をチョイス。嫌がらずに不織布マスクで登校しています。ドラッグストアの店頭だと30枚で1000円超えとても助かります。
45	5	2点注文して3日位の時間差で到着。小学校でもコロナが出始めて不織布マスクを推奨されて居たのですが、白いマスクは娘が嫌がって使ってくれず。この色を見たら喜んで使ってくれました。肌馴染みも良い色なのでまたリピしたいと思います。
46	4	4日に購入し10日に届きました。小学校も不織布のマスクになり、毎日使うのでお安く手に入って良かったです。色も爽やかです。ゴムも太めで痛くないようです。9歳で顔大きめで丁度のサイズでした。
47	5	初めて買ってみました。クーポンが出ていた時に2箱1036円ヘーゼルナッツとホワイトのフラップ型です。10枚ずつ個別包装で保管しやすく箱もオシャレです。つけ心地・サイズ感もとても良かったのですが、1つだけ気になる点が…。ヘーゼルナッツのゴム紐の色が薄いオレンジの様な、色鉛筆の肌色の様な…。紐だけヘーゼルナッツとは違う色が付いています。無くなったら他の色を注文してみようと思います。
48	4	KN94フラップ型「ネイビー」というよりデニムのような、青っぽい色でした。内側は白です。不織布と比べ硬い感触があります。密閉度もあり、呼吸でペコペコする感じ。◎ワイヤーしっかりしていて、鼻が高くてもフィット感あり◎密閉度高い◎たたみやすい△少し塗料のようなにおいあり韓国型のマスク、初です。鼻が根元の方から高く、一般的な不織布の普通サイズですと鼻の曲線にフィットしてくれず、また大きさもガバガバであちこち隙間が空いてしまうので、不織布ですと「小さめ」を使います。不織布も様々ですがこちらは少し密閉感が強く、話す時や少し息が上がると苦しいと感じるかもしれません。（アイリスオーヤマの不織布は呼吸が楽、ケバも立ちにくくなめらかな感触です）開封直後少し揮発系の塗料のような匂いを感じました。星ひとつマイナス★です。強くはありませんし少し経ったら消えそうですが、敏感な方は注意が必要です。サイドがスッキリする感じ、外した時にサッと内側に折りたためるところが良い！と思いました。セール中で売り切れのカラーが多かったので、また機会があればリピートしたいです。
49	5	耳が痛くならないもの＆色付きのものを探していました。主人は白、私はライトパープルとカーキ？色を。形はきれいです。真空になっているものとなっていないものがありましたのでお店に問い合わせ、丁寧に回答をいただきました。画像のような感じに入っているため折れ跡などもありますので、こちらで圧縮しながらシワを伸ばしながらしまうので私はきになりません(笑)においは多少あるかもしれませんので匂いに敏感な方や折りシワが極端に気になる方はやめたほうがいいかもしれません。ですが私はお値段と、何より耳が痛くならないものが欲しかったので満足です！またリピしたいとおもいます！
50	5	クーポン利用で、ライトパープルとライラックを8歳の娘用に購入しました。ライトパープルは、白に近い薄いパープルでとても可愛いです。ライラックは、私も持っているライラックアッシュのマスクと同じ色で希望通り親子でお揃いになりました。どちらもいい色です。どちらもまたリピート予定ですが、他のカラーも気になります。ニオイも気になりません。強いて言えば個包装だと嬉しいです。包装無しで、マスクの袋のまま届きます。
51	4	ライラックを購入。そんなに紫がかってません。くすみピンクのような色です。青みや紫みはほぼありませんが、顔色悪く見えないので、この色で逆に良さそうです。同時期に買ったカシスと並べると、ライラックの方がピンク系でカシスがローズ系に見えます。ライラックは、イエベの肌にもブルベの肌にも合いそうです。服の色に合わせて使います。KN94マスクは、鼻にフィットするので、メガネがかけやすいです。サイドもスッキリしてて、隙間がないので予防効果も高そうです。少し石油のような匂いがしますが、香りのミストかなにかで緩和させて使います。
52	5	ベビーピンクを購入。柔らかい雰囲気のお色味で普段使いしやすいです。お品物は1週間程度で届き箱潰れ等はありませんでした。また心配していた圧縮もあまりかかっていなかったのでシワも許容範囲内のもので，全て開封し確認しましたが汚れや不良品等も見られませんでした。紐も引っ張り確認しましたが大丈夫でした。匂いも1日袋から出しておけば気にならない程度だと思います。(2枚目)某薬局で購入したマスクと比較した所，光沢感に差はありましたが殆ど似たようなお色味だと感じました。サイズ感は市販がぴったりに対して，購入したマスク(普通サイズ)は大きめの着用感だと思います。普通>市販>子供でしたので次回は子供サイズを購入するかは微妙な所です。しかしこのお値段ですのでとてもお得だと思います。今後女性用サイズを販売していただけたら是非リピートさせていただきたいです。
53	5	オリジナルのライラックを購入。箱にLサイズと書いてありちょっと不安になりましたが、普通サイズ同等でした。色が、淡いピンクと渋い薄紫の間のような、ベージュのような茶色のような、秋に向けて何とも言えない絶妙なステキな綺麗な色でした。こんなん求めてた。耳ゴムは為の柔らかめ、鼻ワイヤーも強すぎず弱すぎず。普通サイズでも、顔がむくんでる日、物によっては頬の肉がモリッと食い込んでしまうことがありますが、これは柔らかくて締め付け弱いので大丈夫そうです。いい品をクーポン使って51枚457円で買えました。嬉しいな。
54	5	とにかくかわいいので、全部で3色そろえました！私は普通のプリーツマスクだと、息でまつげが下がってきてしまうので、立体タイプを使用しています。なるべく実物に近いように、屋外の日陰で撮影しました！(笑)ほとんど色味は1枚目の写真の通りです！2枚目のシュガーピンク×ショコラは、明るさを、明るめにしていますが、普通に屋内で撮影すると紐の色が実物より黒っぽくなるので、こちらの写真のほうが実物に近いです。サイズも普通サイズですが、女性にはちょうどいいかと思います。ワイヤーが少し固めです。下側は顎まですっぽり覆えます。多分これからもこちらでリピートすると思うので、ロット変更などで、悪くならないように、、、以前は圧縮されて梱包されていたそうなので。このままのかわいい箱でお願いしたいです！
55	4	フラップタイプのブラック・チャコール・ネイビー・ショコラ・ライラックの5点購入。色見本の画像まんまを求めるとちょっとアレ？って思ってしまうかもしれません。個人的な意見ですが、ショコラは画像より色味が薄く感じました。ライラックはくすみピンクと言った方がピンとくる感じかなと思いました。どちらのカラーも決して悪くはないのであくまでも参考にして納得した上で購入出来ればとてもお得で良いと思います。使った感じも鼻部分にあるワイヤーがしっかりしていてフィット感がありとても気に入りました！フェザーマリンとピスタチオの再入荷期待してます！！ビニール製の梱包の物は中のマスクの袋が真空パック状態になっているので届いたら直ぐ封を開けた方が良いかもしれません。箱入れの物は真空ではなく10枚毎に袋分けされてるので使う段階で開けて問題ないと思います。
56	4	まず、開けたらほとんどが折れ曲がって変形している。何よりも何の臭いか不明な身体に悪そうなキツイ異臭がして、呼吸する場所に付けられる物ではなく、問い合わせしたところ、シワは開封して置いておいたら取れるとの声もあるので試して欲しい、その理由での返品は出来ないとの事。異臭に関しても圧縮して送るので臭いがこもる、との事で開封してしばらく放置して臭いが消えるか試して欲しいとの事。とりあえず言われた通りにやるが、臭いが消えるかは今のところ不明。追記2022/6/141日外干ししてから室内で3日ほど干したら気にならない程度に臭いは消えました。丁寧にmail返信等して頂いてありがとうございました。信頼出来るショップさんだと思いました。
57	4	フラップ型5種（30枚）、プリーツ型1種（50枚/アイスブルー）を購入しました。なぜか袋で届いだものと箱で届いた物がありましたが、中身には問題なさそうです。箱で届いた方は、3袋に個包装されて梱包されています。色味は、写真だと綺麗に写らなかったこで（夜室内光で撮影）あまり参考にはならないかも知れないです。よりお写真と色味が違うのは、ベビーピンクとヘーゼルナッツです。ベビーピンクは、もう少しピンク色が強くお写真よりももっと可愛らしい色味です。ヘーゼルナッツは、お写真よりもっとオレンジ色っぽいです。ピンクは、桜の花びらのような淡いピンク色で、オフィスでも使いやすいなと思いました。ただ、一つ残念なのがアイスブルー単体で追加で頼んだんですが、ポスト投函のため、箱が潰れていました。。配送の方の問題かも知れませんがご参考まで。中身には支障はなしです（なので星一つ減らしました。また使用前なので）消耗品のマスクを安く買えて満足しています。また購入させて頂きたいと思いました。
58	5	半額でコスパも良かったのでアイスグレーを購入してみました。優しいグレーでいい感じのくすみ具合！暇が柔らかくて太めなので耳が痛くならなそうです。ポスト投函の箱が可愛くてマスクを頼んだことを忘れてしまっていました。送料も無料で嬉しいです。51枚たっぷりあるので、また無くなったら他の色も検討したいです。
59	4	アプリコットふつうサイズとヘーゼルナッツ、ラベンダー小さいサイズを購入しました全て思っていたより色が濃かったですが、カラーマスクが安価で購入できたのでありがたいです小さいサイズが他店で購入するよりも大きく、女性ならこちらのサイズでもしっかり耳横までカバーできるかも袋に圧縮されて入ってたので、ちょっと使いづらいけど、別のケースに移し替えれば問題なしです
60	4	ライトパープルとチャコールグレーを購入。色味はどちらも素敵です！ライトパープルはいかにも紫という感じではなく、上品で可愛いです。裏地が白なのでファンデ移りは多少はあるものの、口元にスペースができるのでプリーツマスク程は付きませんでした。プリーツマスクは鼻先や顎にダイレクトに当たりまくって肌荒れが凄かったんですが、こちらは軽減できそうです。不織布のにおいが強めなので(星−1)、敏感な方はマスクスプレーとかした方がいいかも。
61	4	いつも何も不具合なく安定して使えています！
62	4	シュガーピンク色のフラップ型のマスクを購入。思った通りのピンクで大満足です。ただ私はつけていると随分暑苦しさを感じたので星四つです。ただ感染を防ぐ意味では効果があるのかとも思います。
63	5	リピートです。こどもたちも気に入って使っています！
64	4	本日届きました。個包装ではありませんでしたが、とても丁寧な梱包でした。ありがとうございます。
65	5	安価な不織布マスクの中で、クーポンを使えばかなり安くなるお得なマスクです。耳にかけるゴムがかなり平たいゴムで柔らかいので、耳が痛くなることが少ないという点が一番だと思います。これから冬に向かっていきます。インフルエンザも心配されている中、自身の、家族の防御に使ってみようと思います。
66	5	リピートです。枚数もたくさん入っていてよいです。
67	5	ネイビー、スカイグレーのバイカラーを購入しました。バイカラーは紐がピンクだったので、ちょっと失敗したかなぁ（苦笑）。サイズは問題なしです。品質も良いと思います。
68	5	今回2回に分けて購入しました。最初に注文したのがこちらの白マスクです。妻と娘は白マスクしか使わないので、こちらは家族用としての購入です。記載されている品質とレビュー、そして価格の安さで（笑）購入しました。使い心地は良さそうですよ。後から購入した自分用のマスクが待ち遠しいです。
69	4	KN94ヘーゼルナッツに初挑戦(^-^)めちゃ可愛い小豆色のゴムがコレまたオシャレです。TVのイケメンが同じものを(笑)人気なんですかね(*^^*)ちょっとフィット感が足りない気がします。呼吸は楽です。なので★★★★でごめんね。でも、これからの毎日がちょっと嬉しい気分です。ありがとうございます?(^o^)／
70	5	50枚入り400以下ですが物もしっかりしています。毎日使うのでありがたい。
71	5	平ゴムで痛くならず、大変満足しております
72	5	ゴムが平たく幅広いので、耳が痛くなることが全然ありません。サイズは少し大きめで余裕があります。使いやすいマスクです。
73	5	お安く購入できて良かったです。この時期はプリーツの方が息もしやすくて楽なので暫くリピートさせてもらう予定です
74	5	色付きが安く購入できるので、色々試せますね。今回は、プリーツのハニーにしました。顔色がくすみそうですが、落ち着いていて好きです。
75	5	介護士の家族が気に入って使っているのでまとめて購入しました。
76	5	呼吸が楽ということで、立体タイプのマスクを購入していたが、つけて会話をするとズレてしまい着用感が良くないので一般の形に戻しました。少しずつマスク非着用が、すすめられてきていますがリスクがなくなったわけではないのでしばらくは継続のために購入。これから暑くなるので爽やか系の色を選択
